id,type,properties
Constraint::step::pilot_rod_assembly::step_07::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_07_cleaned_with_rod_assembly_ethanol,Constraint,"{""args"": [""step::pilot_rod_assembly::step_07"", ""cleaned_with"", ""rod_assembly"", ""ethanol""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_07::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_07_cleaned_with_rod_assembly_ethanol"", ""display_label"": ""produces cleaned_with(rod_assembly, ethanol) [observed]"", ""display_name"": ""produces cleaned_with"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_07::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_07_cleaned_with_rod_assembly_ethanol"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_07::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_07_avoided_contact_with_copper_sleeve_paper,Constraint,"{""args"": [""step::pilot_rod_assembly::step_07"", ""avoided_contact_with"", ""copper_sleeve"", ""paper""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_07::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_07_avoided_contact_with_copper_sleeve_paper"", ""display_label"": ""produces avoided_contact_with(copper_sleeve, paper) [observed]"", ""display_name"": ""produces avoided_contact_with"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_07::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_07_avoided_contact_with_copper_sleeve_paper"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_07::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_07_secured_to_sleeve_metal_rod,Constraint,"{""args"": [""step::pilot_rod_assembly::step_07"", ""secured_to"", ""sleeve"", ""metal_rod""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_07::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_07_secured_to_sleeve_metal_rod"", ""display_label"": ""requires secured_to(sleeve, metal_rod) [supported]"", ""display_name"": ""requires secured_to"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_required_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_07::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_07_secured_to_sleeve_metal_rod"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::pilot_rod_assembly::step_08::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_08_lubricated_with_silver_sleeve_grease,Constraint,"{""args"": [""step::pilot_rod_assembly::step_08"", ""lubricated_with"", ""silver_sleeve"", ""grease""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_08::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_08_lubricated_with_silver_sleeve_grease"", ""display_label"": ""produces lubricated_with(silver_sleeve, grease) [observed]"", ""display_name"": ""produces lubricated_with"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_08::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_08_lubricated_with_silver_sleeve_grease"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_08::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_08_avoided_contact_with_copper_sleeve_grease,Constraint,"{""args"": [""step::pilot_rod_assembly::step_08"", ""avoided_contact_with"", ""copper_sleeve"", ""grease""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_08::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_08_avoided_contact_with_copper_sleeve_grease"", ""display_label"": ""produces avoided_contact_with(copper_sleeve, grease) [observed]"", ""display_name"": ""produces avoided_contact_with"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_08::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_08_avoided_contact_with_copper_sleeve_grease"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_08::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_08_cleaned_with_rod_assembly_ethanol,Constraint,"{""args"": [""step::pilot_rod_assembly::step_08"", ""cleaned_with"", ""rod_assembly"", ""ethanol""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_08::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_08_cleaned_with_rod_assembly_ethanol"", ""display_label"": ""requires cleaned_with(rod_assembly, ethanol) [supported]"", ""display_name"": ""requires cleaned_with"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_required_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_08::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_08_cleaned_with_rod_assembly_ethanol"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::pilot_rod_assembly::step_08::c::precondition_required_pilot_condition::1_0::requires::step__pilot_rod_assembly__step_08_secured_to_sleeve_metal_rod,Constraint,"{""args"": [""step::pilot_rod_assembly::step_08"", ""secured_to"", ""sleeve"", ""metal_rod""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_08::c::precondition_required_pilot_condition::1_0::requires::step__pilot_rod_assembly__step_08_secured_to_sleeve_metal_rod"", ""display_label"": ""requires secured_to(sleeve, metal_rod) [supported]"", ""display_name"": ""requires secured_to"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_required_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_08::c::precondition_required_pilot_condition::1_0::requires::step__pilot_rod_assembly__step_08_secured_to_sleeve_metal_rod"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Entity::copper_sleeve,Entity,"{""display_label"": ""copper_sleeve"", ""display_name"": ""copper_sleeve"", ""entity_id"": ""copper_sleeve"", ""short_id"": ""copper_sleeve""}"
Entity::ethanol,Entity,"{""display_label"": ""ethanol"", ""display_name"": ""ethanol"", ""entity_id"": ""ethanol"", ""short_id"": ""ethanol""}"
Entity::grease,Entity,"{""display_label"": ""grease"", ""display_name"": ""grease"", ""entity_id"": ""grease"", ""short_id"": ""grease""}"
